(206, 28, 34)
(206, 58, 234)
(206, 58, 219)
(206, 58, 139)
(206, 295, 234)
(206, 295, 219)
(206, 295, 139)
(206, 324, 33)
(206, 16, 213)
(206, 16, 208)
(206, 13, 34)
(6, 297, 271)
(110, 382, 91)
(171, 394, 73)
(171, 72, 73)
(171, 69, 73)
(157, 408, 310)
(58, 443, 471)
(58, 443, 456)
(58, 443, 376)
(58, 471, 443)
(58, 471, 456)
(58, 471, 376)
(58, 456, 443)
(58, 376, 443)
(58, 376, 471)
(58, 376, 456)
(309, 408, 310)
(306, 408, 310)
(277, 317, 125)
(178, 117, 36)
(178, 117, 169)
(178, 4, 367)
(178, 4, 5)
(178, 36, 117)
(178, 367, 4)
(178, 367, 5)
(178, 169, 117)
(178, 169, 36)
(178, 5, 4)
(178, 5, 367)
(242, 178, 241)
(242, 178, 130)
(242, 415, 241)
(242, 415, 130)
(417, 117, 169)
(417, 367, 117)
(417, 169, 117)
(417, 169, 36)
(234, 28, 34)
(234, 58, 206)
(234, 58, 219)
(234, 58, 139)
(234, 295, 206)
(234, 295, 219)
(234, 295, 139)
(234, 324, 33)
(234, 16, 213)
(234, 16, 208)
(234, 13, 34)
(265, 443, 271)
(265, 471, 271)
(265, 376, 271)
(145, 347, 328)
(210, 10, 182)
(87, 443, 270)
(87, 471, 270)
(87, 376, 270)
(250, 443, 271)
(250, 471, 271)
(250, 376, 271)
(295, 443, 471)
(295, 443, 456)
(295, 443, 376)
(295, 471, 443)
(295, 471, 456)
(295, 471, 376)
(295, 456, 443)
(295, 456, 471)
(295, 376, 443)
(295, 376, 471)
(295, 376, 456)
(182, 247, 210)
(219, 58, 206)
(219, 58, 234)
(219, 295, 206)
(139, 28, 34)
(139, 58, 206)
(139, 58, 234)
(139, 58, 219)
(139, 295, 206)
(139, 295, 234)
(139, 295, 219)
(139, 324, 33)
(139, 16, 213)
(139, 16, 208)
(139, 13, 34)
(10, 419, 447)
(241, 178, 242)
(241, 178, 130)
(241, 415, 242)
(241, 415, 130)
(354, 178, 406)
(354, 417, 406)
(354, 415, 273)
(354, 415, 406)
(354, 180, 406)
(285, 161, 322)
(394, 310, 408)
(80, 170, 362)
(80, 40, 362)
(415, 117, 169)
(415, 4, 367)
(415, 4, 5)
(415, 367, 4)
(415, 367, 5)
(415, 169, 117)
(415, 5, 4)
(415, 5, 367)
(73, 157, 171)
(73, 309, 171)
(73, 306, 171)
(382, 328, 347)
(447, 182, 10)
(407, 317, 125)
(247, 447, 419)
(398, 48, 85)
(273, 415, 354)
(60, 243, 34)
(419, 210, 247)
(253, 443, 450)
(253, 443, 445)
(253, 471, 450)
(253, 471, 445)
(253, 376, 450)
(253, 376, 445)
(72, 310, 408)
(91, 145, 110)
(69, 310, 408)
(406, 178, 354)
(406, 417, 354)
(406, 415, 354)
(406, 415, 273)
(406, 180, 354)
(406, 180, 273)
(130, 178, 242)
(130, 178, 241)
(130, 417, 354)
(130, 415, 242)
(130, 415, 241)
(130, 180, 354)
(180, 117, 169)
(180, 367, 117)
(180, 169, 117)
